name,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Anhui Province,110.9765329296,111.4583333333,111.1594202899,111.103202847,110.5769230769,110.635451505,110.5921052632,110.7212475634,110.2709514808,110.6765983861,109.3463653024,105.6081081081,106.4961990325,106.3199473338,106.1224489796,106.9616135329,106.4070351759,106.6100667071,106.6275659824,107.4643874644,108.0752212389,107.0415133999,107.0665988815,106.4405113078,106.5550239234,106.704172527,106.8139963168,106.9936421435,107.1620411817,107.2559366755,107.2044866264,107.0672873466,107.2324414716,107.6158940397,108.0658436214,108.2857142857,108.4917104731,108.429884139,108.3957430035,108.249419055,108.1842405786,107.5907590759,107.5894470546,107.6017130621,107.7140835103,107.8403920196,108.0443828017,108.0412371134,107.9305650102,107.7676460655,107.8030810449,107.880794702,107.9224194609,108.0013063357,108.3197920052,108.2849774339,108.3466581388,108.3754740834,108.2033686837,108.1840642372
Beijing Municipality,129.1871249318,129.5193312435,137.1355498721,135.1896303409,134.4149908592,132.0250521921,125.0698602794,118.5067232838,113.9142181695,109.209272785,113.6940749698,113.1412103746,109.1195870376,106.1373873874,106.0070671378,105.8605144524,106.5337181842,106.6596194503,106.5352697095,105.8808290155,104.9421661409,104.4577685089,104.5664443304,103.9314516129,104.253214639,104.1971693509,104.207980653,104.0318686625,103.6686390533,103.478869951,102.7344632768,102.5307950728,102.7796161482,102.8199566161,103.426124197,103.5864978903,103.9501039501,103.9682539683,100.5747126437,101.3282732448,100.1862197393,100.7393715342,100,101.0948905109,101.0849909584,100.5347593583,100.4646691235,102.998065764,102.8463929331,102.5365853659,102.5128865979,108.9168071089,108.9140271493,109.2633436259,109.4936708861,109.4135802469,102.5549848545,104.3691830403,103.1094527363,103.3837293017
Chongqing Municipality, , ,109.162544855,109.3446930863,109.8031031234,105.5542983865,106.4166666667,107.9310600523,107.9285743913,107.9501417393,107.5553270302,106.4464874697,105.4788393164,104.1797318791,104.6783239855,105.0882447321,104.715455582,104.6964997785,105.1041656483,104.9348391042,105.5677839384,105.1520065946,105.3053821201,105.1391899358,105.5007530744,105.5939869091,105.8101135191,106.0444927605,106.2582407233,106.2931479829,106.4710642205,106.8021139713,107.0689602164,107.5186422069,107.596212885,107.7426720195,107.9975355208,108.1476813582,108.2429405823,108.3428803457,108.527500054,108.6252830216,108.7528766656,108.9314036479,109.0297655137,109.1423007411,109.1956986849,,,,,,,,,,,,,
Fujian Province,108.8028169014,108.4337349398,107.3701842546,104.8387096774,108.48,106.1443932412,104.9034175334,104.6242774566,107.5284090909,105.4570259209,107.9837618403,113.085399449,113.4246575342,107.2445019405,110.152284264,107.6829268293,107.1849234393,107.560137457,107.4860335196,107.150595883,108.0423280423,106.9672131148,108.4252758275,108.2926829268,108.3570750237,107.8703703704,108.0615942029,107.8691423519,107.6058772688,107.1126164268,106.3900414938,106.4754098361,106.3607085346,106.4617809299,106.6615027111,106.6869300912,106.7961165049,107.0484581498,106.9834413247,106.8502824859,106.9348127601,106.4581917063,106.5057008719,106.6312997347,106.6929133858,106.6883116883,106.8370607029,106.9162436548,106.8052930057,106.8338557994,106.6043613707,106.2915910466,106.2350119904,106.1867935753,106.2684801892,106.1655901351,101.6543069025,102.0442930153,101.8602029312,101.2283640424
Gansu Province,105.3279905016,115.4566346072,114.9246928671,114.5643981379,110.3632989612,110.7942551267,114.6036936569,112.8454631215,111.2717784698,111.9585173423,117.6273582524,109.191343389,105.6105554518,105.6589378711,106.9635667777,108.180160408,108.0952749207,107.7633266712,107.4897558723,107.5032070947,106.8022714704,106.9836048454,107.0861470495,106.8806161746,106.8853315599,106.7691198865,106.9067553619,106.9733173131,106.8129407814,106.825043963,106.6553906591,106.5693273465,107.1688489078,107.1255519314,107.1686073012,107.0816722887,107.4254824694,107.0832050684,106.9537913765,106.9967333802,106.9113775404,104.4644152641,106.9542692039,107.2532688519,103.7594050288,104.9176809902,106.3506170332,107.2660667625,105.1775622517,104.7918648036,103.3201922385,107.5987496448,107.5986102266,107.6406186178,107.2541417551,107.1246094831,105.9310060167,105.6764733735,105.549577852,105.4229816238
Guangdong Province,100.8575016962,102.0897915174, ,100.2773171118, , , , ,101.8751987087, , , , ,101.3561231098, , ,102.5598297988, , , , ,102.9430425178, , , , ,104.082078424, , ,104.4081260318,104.3180851614,104.494228189,104.6948898374,104.8557204897,105.375359323,105.7281252536,105.9521425164,106.1303631252,106.1522419187,106.2157151255,106.4331993655, , , , , , , , , , ,103.6662145999, , , , ,102.5931214413,104.7503669618,103.9151536863,104.9181207823
Guangxi Zhuang Autonomous Region,106.6069428891,106.7254685777,106.9489685125,106.922257721,106.6945606695,106.762295082,106.5392354125,106.5153010859,106.6410009625,106.4211520302,106.8480300188,105.6818181818,105.2281368821,104.4239631336,105.3571428571,106.288209607,105.6349873844,105.8631921824,105.7233704293,104.8686244204,105.2473763118,105.24399126,105.3862508859,105.8864265928,105.9973045822,106.0566161949,106.1171925306,106.25,106.2577447336,106.306852638,106.0570071259,106.1771561772,106.339234723,106.734006734,107.0438158625,107.2984749455,107.3340471092,107.4658254469,107.6525336091,107.6180802438,107.7077077077,108.2474226804,108.4860173578,109.0692124105,109.2409240924,109.268747089,109.7414589104,109.4477407576,109.4484629295,109.3596059113,109.4666666667,109.5721217468,109.8159509202,109.5610604085,109.8056155508,109.8283261803,110.6690777577,111.1409395973,111.1603188663,111.2280701754
Guizhou Province,100.3111299675,100.3109540636,101.717397375,100.6329113924,102.1121147715,102.4272286431,102.1878185525,102.589467921,102.7746613104,101.6152612715,102.2451582976,98.6951105951,97.1332127202,98.5670822645,99.6811777668,103.3485381339,103.3790199167,103.5637149028,101.3374485597,100.4926108374,101.1450381679,103.4087092802,103.7172307443,103.4245435839,103.1336397714,103.1410288127,103.1798148787,103.2383093808,103.2878526549,103.2718412809,103.1895897505,103.112518836,103.8214999027,104.6733296317,104.8005251567,104.9814724184,105.0840089702,105.1486141997,105.3383232533,104.6294478688,105.6220212042,106.4137713203,106.4778361947,106.7646877884,106.9585438119,107.2033263635,107.2782061508,107.3089100482,107.3102861447,107.310506657,107.3052982131,110.0843532544,108.1261300751,108.0807752165,108.108893,107.4802814805,106.139987289,107.2000926483,107.3005570463,108.190395688
Hainan Province, ,95.6869896139,96.0725075529,95.6849728425,98.5279832623,99.0452590919,98.933199685,98.7678384963,99.9793701004,98.0184422209,98.8513082323,98.7275918265,98.5105477537,122.0176193946,101.929638781,102.307472087,103.6919478784,101.7468881885,101.1069340017,101.1516412156,101.5650296816,103.4775595408,246.6290420988,104.7204479832,104.7440112729,104.6272601418,104.3769797194,105.3371814154,104.8722425012,104.8017672364,104.8375478637,103.0091486938,104.8998830751,105.4436933698,106.0320051095,106.2471564064,106.87255479,107.0176038284,107.2022907192,106.785643597,103.878540444,108.9109535067,107.9813655015,107.2401195616,106.2614017537,108.4109685358,108.591025678,109.0971233267,108.9896489649,109.9096587107,110.9499155569,112.5384324937,112.8618825922,113.1901677639,113.3284202769,113.4991907273,110.4835019574,110.2049541054,110.0914922182,
Hebei Province,102.7595269382,102.5096525097,102.2082018927,102.1000617665,101.9939577039,102.5294117647,102.816091954,102.9977375566,103.324099723,103.4896401309,104.036598493,103.6099137931,102.6161238655,101.9760790432,5.5496264674,104.6594982079,104.0439340989,104.0487804878,104.1266794626,104.0845070423,104.0863177227,104.0358744395,104.1355037396,104.4982698962,104.5996592845,104.7157894737,104.8790658882,105.2740863787,105.2566735113,105.402112104,105.4325955734,105.3237981724,104.992199688,104.896710023,105.0699962164,105.3517964072,105.7863501484,105.8156547184,105.8399423216,105.7152999645,105.6293706294,104.4820717131,103.7340320996,104.8645119164,103.8622465401,104.4814340589,102.9959003469,104.2204724409,104.0337711069,103.6267823931,103.0703101013,103.6618858712,102.0814479638,103.1674208145,104.1930618401,104.5358966657,100.9090909091,102.1688159437,103.3684827182,103.939305515
