name,urban_unmarried_m_f,rural_unmarried_m_f,urban_newborn_m_f,rural_newborn_m_f,region_code
Beijing Municipality,117,142,112,110,a1
Tianjin Municipality,123,144,115,113,a2
Hebei Province,111,137,119,119,a3
Shanxi Province,113,152,115,112,a4
Inner Mongolia Autonomous Region,127,172,105,113,a5
Liaoning Province,121,155,111,115,a6
Jilin Province,120,143,113,118,a7
Heilongjiang Province,123,141,113,117,a8
Shanghai Municipality,126,154,113,101,a9
Jiangsu Province,122,140,120,123,a10
Zhejiang Province,130,179,117,120,a11
Anhui Province,126,140,122,137,a12
Fujian Province,126,149,124,128,a13
Jiangxi Province,129,147,125,131,a14
Shandong Province,117,136,121,127,a15
Henan Province,114,130,126,129,a16
Hubei Province,130,154,124,124,a17
Hunan Province,127,160,123,127,a18
Guangdong Province,129,133,131,127,a19
Guangxi Zhuang Autonomous Region,132,180,126,120,a20
Hainan Province,129,173,131,128,a21
Chongqing Municipality,125,175,111,118,a22
Sichuan Province,122,160,113,113,a23
Guizhou Province,130,171,126,126,a24
Yunnan Province,129,188,113,114,a25
Tibet Autonomous Region,118,124,116,96,a26
Shaanxi Province,121,151,115,117,a27
Gansu Province,121,139,126,124,a28
Qinghai Province,132,153,113,113,a29
Ningxia Hui Autonomous Region,120,140,113,115,a30
Xinjiang Uyghur Autonomous Region,125,152,106,105,a31
